Nome,Ente federativo,Cargo (ultima alteração),Partido,Twitter,Facebook,FacebookID,Data início,Data término
Márcio Jerry Saraiva Barroso,,Deputado Federal eleito,PC do B,,,id551970688209452,28/10/2018,
Rubens Pereira E Silva Junior,,Deputado Federal eleito,PC do B,,,id231256850282149,28/10/2018,
Renildo Vasconcelos Calheiros,,Deputado Federal eleito,PC do B,,,id398858610176824,28/10/2018,
Jandira Feghali,,Deputado Federal eleito,PC do B,,,id208153919219278,28/10/2018,
Orlando Silva De Jesus Junior,,Deputado Federal eleito,PC do B,,,id397405070321390,28/10/2018,
Jesus Sergio De Menezes,,Deputado Federal eleito,PDT,,,id198351500798968,28/10/2018,
Alex Marco Santana Sousa,,Deputado Federal eleito,PDT,,,id1925056834487233,28/10/2018,
Felix De Almeida Mendonça Junior,,Deputado Federal eleito,PDT,,,id1521288524756090,28/10/2018,
Andre Peixoto Figueiredo Lima,,Deputado Federal eleito,PDT,,,id345829265488872,28/10/2018,
Antonio Idilvan De Lima Alencar,,Deputado Federal eleito,PDT,,,id224968724875918,28/10/2018,
Carlos Mauro Benevides Filho,,Deputado Federal eleito,PDT,,,id1432229983657475,28/10/2018,
Eduardo Henrique Maia Bismarck,,Deputado Federal eleito,PDT,,,id356774021132484,28/10/2018,
José Leônidas De Menezes Cristino,,Deputado Federal eleito,PDT,,,id1271496449602306,28/10/2018,
Marcos Roberio Ribeiro Monteiro,,Deputado Federal eleito,PDT,,,id373529029833170,28/10/2018,
Antonio Sergio Alves Vidigal,,Deputado Federal eleito,PDT,,,id952849801440316,28/10/2018,
Flavia Carreiro Albuquerque Morais,,Deputado Federal eleito,PDT,,,id518889098214357,28/10/2018,
Gilliano Fred Nascimento Cutrim,,Deputado Federal eleito,PDT,,,id460851790686104,28/10/2018,
Luiz Gonzaga Ribeiro,,Deputado Federal eleito,PDT,,,id446410602056683,28/10/2018,
Mário Lúcio Heringer,,Deputado Federal eleito,PDT,,,id611112112239401,28/10/2018,
Dagoberto Nogueira Filho,,Deputado Federal eleito,PDT,,,id,28/10/2018,
Damião Feliciano Da Silva,,Deputado Federal eleito,PDT,,,id107421552961237,28/10/2018,
Túlio Gadelha Sales De Melo,,Deputado Federal eleito,PDT,,,id288353518218458,28/10/2018,
Wolney Queiroz Maciel,,Deputado Federal eleito,PDT,,,id200496276973701,28/10/2018,
Flavio Rodrigues Nogueira,,Deputado Federal eleito,PDT,,,id775240779164982,28/10/2018,
Gustavo Bonato Fruet,,Deputado Federal eleito,PDT,,,id214730151901124,28/10/2018,
Francisco Jose D'Angelo Pinto,,Deputado Federal eleito,PDT,,,id599650263486865,28/10/2018,
Paulo Sergio Ramos Barboza,,Deputado Federal eleito,PDT,,,id,28/10/2018,
Silvia Cristina Amancio Chagas,,Deputado Federal eleito,PDT,,,id,28/10/2018,
Afonso Antunes Da Motta,,Deputado Federal eleito,PDT,,,id621644487915715,28/10/2018,
Darci Pompeo De Mattos,,Deputado Federal eleito,PDT,,,id265934193465106,28/10/2018,
Marlon Arator Santos Da Rosa,,Deputado Federal eleito,PDT,,,id1909791885961077,28/10/2018,
Fabio Henrique Santana De Carvalho,,Deputado Federal eleito,PDT,,,id459279477427452,28/10/2018,
Tabata Claudia Amaral De Pontes,,Deputado Federal eleito,PDT,,,id201596403728972,28/10/2018,
Anderson Machado De Jesus,,Deputado Federal eleito,PHS,,,id309796436085284,28/10/2018,
Jose Abilio Silva De Santana,,Deputado Federal eleito,PHS,,,id,28/10/2018,
Franco Cartafina Gomes,,Deputado Federal eleito,PHS,,,id490602331026753,28/10/2018,
Marcelo Guilherme De Aro Ferreira,,Deputado Federal eleito,PHS,,,id115558161921629,28/10/2018,
Fernando Rodolfo Tenorio De Vasconcelos,,Deputado Federal eleito,PHS,,,id458071071234028,28/10/2018,
Gelson De Azevedo Almeida,,Deputado Federal eleito,PHS,,,id634950393544138,28/10/2018,
Eduardo Salim Braide,,Deputado Federal eleito,PMN,,,id1417942768479036,28/10/2018,
Gildenemir De Lima Sousa,,Deputado Federal eleito,PMN,,,id600776280271712,28/10/2018,
Jose Vitor De Resende Aguiar,,Deputado Federal eleito,PMN,,,id,28/10/2018,
João Carlos Bacelar Batista,,Deputado Federal eleito,PODE,,,id152534811624066,28/10/2018,
José Nelto Lagares Das Mercez,,Deputado Federal eleito,PODE,,,id1592321727682595,28/10/2018,
Aluisio Guimarães Mendes Filho,,Deputado Federal eleito,PODE,,,id334810013335023,28/10/2018,
Igor Tarciano Timo,,Deputado Federal eleito,PODE,,,id,28/10/2018,
Jose Antonio Dos Santos Medeiros,,Deputado Federal eleito,PODE,,,id312680748928001,28/10/2018,
Ricardo Teobaldo Cavalcanti,,Deputado Federal eleito,PODE,,,id1499477190264031,28/10/2018,
Diego Alexsander Gonçalo Paula Garcia,,Deputado Federal eleito,PODE,,,id314213892042373,28/10/2018,
Leonardo Barreto De Moraes,,Deputado Federal eleito,PODE,,,id1011341455639868,28/10/2018,
Marco Antonio Feliciano,,Deputado Federal eleito,PODE,,,id176976939109000,28/10/2018,
Renata Hellmeister De Abreu,,Deputado Federal eleito,PODE,,,id1433929133492494,28/10/2018,
Roberto Alves De Lucena,,Deputado Federal eleito,PODE,,,id234504343286488,28/10/2018,
Arthur Cesar Pereira De Lira,,Deputado Federal eleito,PP,,,id553734458071369,28/10/2018,
Atila Sidney Lins De Albuquerque,,Deputado Federal eleito,PP,,,id329607960409077,28/10/2018,
Andre Dos Santos Abdon,,Deputado Federal eleito,PP,,,id853785441352661,28/10/2018,
Carlos Felipe Vazquez De Souza Leão,,Deputado Federal eleito,PP,,,id1524680221094223,28/10/2018,
Claudio Cajado Sampaio,,Deputado Federal eleito,PP,,,id1638752696387328,28/10/2018,
Mário Silvio Mendes Negromonte Júnior,,Deputado Federal eleito,PP,,,id575263439225940,28/10/2018,
Ronaldo Carletto,,Deputado Federal eleito,PP,,,id636192333121270,28/10/2018,
Antonio Jose Aguiar Albuquerque,,Deputado Federal eleito,PP,,,id163911517374476,28/10/2018,
Celina Leao Hizim,,Deputado Federal eleito,PP,,,id438031969571322,28/10/2018,
Evair Vieira De Melo,,Deputado Federal eleito,PP,,,id529821053761365,28/10/2018,
Adriano Antônio Avelar,,Deputado Federal eleito,PP,,,id924601577651630,28/10/2018,
Alcides Ribeiro Filho,,Deputado Federal eleito,PP,,,id529741837114868,28/10/2018,
Andre Luiz Carvalho Ribeiro,,Deputado Federal eleito,PP,,,id474257199269888,28/10/2018,
Antônio Pinheiro Neto,,Deputado Federal eleito,PP,,,id393428077515241,28/10/2018,
Dimas Fabiano Toledo Junior,,Deputado Federal eleito,PP,,,id206365432837539,28/10/2018,
Neri Geller,,Deputado Federal eleito,PP,,,id2268118040088348,28/10/2018,
Aguinaldo Velloso Borges Ribeiro,,Deputado Federal eleito,PP,,,id1856690847884992,28/10/2018,
Eduardo Henrique Da Fonte De Albuquerque Silva,,Deputado Federal eleito,PP,,,id194138040740933,28/10/2018,
Fernando Monteiro De Albuquerque,,Deputado Federal eleito,PP,,,id617414551660433,28/10/2018,
Iracema Maria Portella Nunes Nogueira Lima,,Deputado Federal eleito,PP,,,id144619715634355,28/10/2018,
Margarete De Castro Coelho,,Deputado Federal eleito,PP,,,id1389530231308188,28/10/2018,
Jose Carlos Schiavinato,,Deputado Federal eleito,PP,,,id825435330823531,28/10/2018,
Ricardo Jose Magalhães Barros,,Deputado Federal eleito,PP,,,id800038830018182,28/10/2018,
Christino Áureo Da Silva,,Deputado Federal eleito,PP,,,id933754649994946,28/10/2018,
Luiz Antonio De Souza Teixeira Júnior,,Deputado Federal eleito,PP,,,id153186802182309,28/10/2018,
Dirlaine Jaqueline Cassol,,Deputado Federal eleito,PP,,,id1420022301592431,28/10/2018,
Hiran Manuel Gonçalves Da Silva,,Deputado Federal eleito,PP,,,id1460558354166610,28/10/2018,
Jerônimo Pizzolotto Goergen,,Deputado Federal eleito,PP,,,id143212705692959,28/10/2018,
José Alfonso Ebert Hamm,,Deputado Federal eleito,PP,,,id208610802492299,28/10/2018,
Luis Antonio Franciscatto Covatti,,Deputado Federal eleito,PP,,,id250817031788413,28/10/2018,
Pedro Bandarra Westphalen,,Deputado Federal eleito,PP,,,id562261883915545,28/10/2018,
Angela Regina Heinzen Amin Helou,,Deputado Federal eleito,PP,,,id291052834605299,28/10/2018,
Laercio Jose De Oliveira,,Deputado Federal eleito,PP,,,id457224910969875,28/10/2018,
Fausto Ruy Pinato,,Deputado Federal eleito,PP,,,id415124335529300,28/10/2018,
Guilherme Muraro Derrite,,Deputado Federal eleito,PP,,,id546286218728460,28/10/2018,
Guilherme Mussi Ferreira,,Deputado Federal eleito,PP,,,id120856188018045,28/10/2018,
Ricardo Izar Junior,,Deputado Federal eleito,PP,,,id370738376378204,28/10/2018,
Uldurico Alencar Pinto,,Deputado Federal eleito,PPL,,,id326144047545564,28/10/2018,
Paula Moreno Paro Belmonte,,Deputado Federal eleito,PPS,,,id481960978885807,28/10/2018,
Josias Mario Da Vitoria,,Deputado Federal eleito,PPS,,,id499520976775813,28/10/2018,
Daniel Pires Coelho,,Deputado Federal eleito,PPS,,,id142142725852014,28/10/2018,
Rubens Bueno,,Deputado Federal eleito,PPS,,,id549765801726215,28/10/2018,
Marcelo Calero Faria Garcia,,Deputado Federal eleito,PPS,,,id1021233484565650,28/10/2018,
Carmen Emilia Bonfá Zanotto,,Deputado Federal eleito,PPS,,,id129795707218499,28/10/2018,
Alex Spinelli Manente,,Deputado Federal eleito,PPS,,,id130558143745099,28/10/2018,
Arnaldo Calil Pereira Jardim,,Deputado Federal eleito,PPS,,,id284823328208067,28/10/2018,
Sérgio Toledo De Albuquerque,,Deputado Federal eleito,PR,,,id461440950613316,28/10/2018,
Marcelo Ramos Rodrigues,,Deputado Federal eleito,PR,,,id123110164425108,28/10/2018,
Vinícius De Azevedo Gurgel,,Deputado Federal eleito,PR,,,id289160704429225,28/10/2018,
Joao Carlos Paolilo Bacelar Filho,,Deputado Federal eleito,PR,,,id630006647069241,28/10/2018,
Jose Alves Rocha,,Deputado Federal eleito,PR,,,id517073085162101,28/10/2018,
Jaziel Pereira De Sousa,,Deputado Federal eleito,PR,,,id689713134498557,28/10/2018,
Flavia Carolina Peres,,Deputado Federal eleito,PR,,,id1479932885589807,28/10/2018,
Lauriete Rodrigues De Jesus Malta,,Deputado Federal eleito,PR,,,id144005945803151,28/10/2018,
Magda Mofatto Hon,,Deputado Federal eleito,PR,,,id396626607095420,28/10/2018,
Jose Lourenço Bonfim Junior,,Deputado Federal eleito,PR,,,id239244869511517,28/10/2018,
Josimar Cunha Rodrigues,,Deputado Federal eleito,PR,,,id775669792490001,28/10/2018,
Lincoln Diniz Portela,,Deputado Federal eleito,PR,,,id410655005626777,28/10/2018,
Cristiano Dutra Vale,,Deputado Federal eleito,PR,,,id239803006861332,28/10/2018,
José Wellington Roberto,,Deputado Federal eleito,PR,,,id335379036616986,28/10/2018,
Sebastião Ignacio De Oliveira Junior,,Deputado Federal eleito,PR,,,id327809493986518,28/10/2018,
Fábio Abreu Costa,,Deputado Federal eleito,PR,,,id754507077922852,28/10/2018,
Christiane De Souza Yared,,Deputado Federal eleito,PR,,,id1517659225184185,28/10/2018,
Fernando Lucio Giacobo,,Deputado Federal eleito,PR,,,id1576158645984847,28/10/2018,
Luiz Hiloshi Nishimori,,Deputado Federal eleito,PR,,,id660410357307599,28/10/2018,
Altineu Cortes Freitas Coutinho,,Deputado Federal eleito,PR,,,id494760090676746,28/10/2018,
Soraya Alencar Dos Santos,,Deputado Federal eleito,PR,,,id302189129958774,28/10/2018,
João Da Silva Maia,,Deputado Federal eleito,PR,,,id363291450835796,28/10/2018,
Edio Vieira Lopes,,Deputado Federal eleito,PR,,,id381872468519171,28/10/2018,
Giovani Cherini,,Deputado Federal eleito,PR,,,id552483638152177,28/10/2018,
João Bosco Da Costa,,Deputado Federal eleito,PR,,,id351151221703405,28/10/2018,
Francisco Everardo Oliveira Silva,,Deputado Federal eleito,PR,,,id,28/10/2018,
José Augusto Rosa,,Deputado Federal eleito,PR,,,id1378617549025463,28/10/2018,
Katia Da Silva Sastre,,Deputado Federal eleito,PR,,,id1055721444583776,28/10/2018,
Luiz Carlos Motta,,Deputado Federal eleito,PR,,,id196025943931014,28/10/2018,
Marcio Luiz Alvino De Souza,,Deputado Federal eleito,PR,,,id620314628044090,28/10/2018,
Miguel Lombardi,,Deputado Federal eleito,PR,,,id503151713035561,28/10/2018,
Paulo Roberto Freire Da Costa,,Deputado Federal eleito,PR,,,id200801366622612,28/10/2018,
Vicente Alves De Oliveira Junior,,Deputado Federal eleito,PR,,,id628145183937458,28/10/2018,
Manuel Marcos Carvalho De Mesquita,,Deputado Federal eleito,PRB,,,id396113810473968,28/10/2018,
Severino De Lira Pessôa,,Deputado Federal eleito,PRB,,,id222828721560501,28/10/2018,
Alberto Barros Cavalcante Neto,,Deputado Federal eleito,PRB,,,id865232070270799,28/10/2018,
Silas Câmara,,Deputado Federal eleito,PRB,,,id287239394648019,28/10/2018,
Aline Paranhos Varonil Gurgel,,Deputado Federal eleito,PRB,,,id292264857621991,28/10/2018,
João Inácio Ribeiro Roma Neto,,Deputado Federal eleito,PRB,,,id653716951478918,28/10/2018,
Marcio Carlos Marinho,,Deputado Federal eleito,PRB,,,id463527207044648,28/10/2018,
Julio Cesar Ribeiro,,Deputado Federal eleito,PRB,,,id282481151854972,28/10/2018,
Amaro Rocha Nascimento Neto,,Deputado Federal eleito,PRB,,,id368704519884205,28/10/2018,
João Campos De Araújo,,Deputado Federal eleito,PRB,,,id586776594697429,28/10/2018,
Cleber Verde Cordeiro Mendes,,Deputado Federal eleito,PRB,,,id2078944365512912,28/10/2018,
Gilberto Aparecido Abramo,,Deputado Federal eleito,PRB,,,id265124996987625,28/10/2018,
Lafayette Luiz Doorgal De Andrada,,Deputado Federal eleito,PRB,,,id154453614722972,28/10/2018,
Wagner Bach Martins,,Deputado Federal eleito,PRB,,,id774643415950130,28/10/2018,
Hugo Motta Wanderley Da Nóbrega,,Deputado Federal eleito,PRB,,,id457745987599981,28/10/2018,
Ossesio Jose Da Silva,,Deputado Federal eleito,PRB,,,id1423302547943644,28/10/2018,
Silvio Serafim Costa Filho,,Deputado Federal eleito,PRB,,,id140347022821700,28/10/2018,
Jose Aroldo Souza Martins,,Deputado Federal eleito,PRB,,,id261967070500676,28/10/2018,
Luiz Goularte Alves,,Deputado Federal eleito,PRB,,,id352566814808427,28/10/2018,
Rosangela De Souza Gomes,,Deputado Federal eleito,PRB,,,id824390270907057,28/10/2018,
Wagner Montes Dos Santos,,Deputado Federal eleito,PRB,,,id165876130166346,28/10/2018,
Johnathan Pereira De Jesus,,Deputado Federal eleito,PRB,,,id179868982071153,28/10/2018,
Antonio Carlos Gomes Da Silva,,Deputado Federal eleito,PRB,,,id212265828905225,28/10/2018,
Hélio Francisco Da Costa,,Deputado Federal eleito,PRB,,,id248218548595070,28/10/2018,
Benedito Roberto Alves Ferreira,,Deputado Federal eleito,PRB,,,id798681053542019,28/10/2018,
Celso Ubirajara Russomanno,,Deputado Federal eleito,PRB,,,id255649141196176,28/10/2018,
Marcos Antonio Pereira,,Deputado Federal eleito,PRB,,,id390881930977875,28/10/2018,
Maria Do Parto Mendes Rosas,,Deputado Federal eleito,PRB,,,id162546520582060,28/10/2018,
Milton Vieira Pinto,,Deputado Federal eleito,PRB,,,id125758354680348,28/10/2018,
Vinicius Rapozo De Carvalho,,Deputado Federal eleito,PRB,,,id462223517218816,28/10/2018,
Acácio Da Silva Favacho Neto,,Deputado Federal eleito,PROS,,,id248744661890403,28/10/2018,
Francisco Vaidon Oliveira,,Deputado Federal eleito,PROS,,,id,28/10/2018,
Wagner Sousa Gomes,,Deputado Federal eleito,PROS,,,id338601016235780,28/10/2018,
Eros Ferreira Biondini,,Deputado Federal eleito,PROS,,,id150455861700307,28/10/2018,
Weliton Fernandes Prado,,Deputado Federal eleito,PROS,,,id193185607843864,28/10/2018,
Antonio Wandscheer,,Deputado Federal eleito,PROS,,,id301814029885718,28/10/2018,
Emerson Miguel Petriv,,Deputado Federal eleito,PROS,,,id,28/10/2018,
Clarissa Garotinho Barros Assed Matheus De Oliveira,,Deputado Federal eleito,PROS,,,id381544615216928,28/10/2018,
Raimundo Magalhães Costa,,Deputado Federal eleito,PRP,,,id1964028583630362,28/10/2018,
Beatriz Kicis Torrents De Sordi,,Deputado Federal eleito,PRP,,,id522420381257862,28/10/2018,
Alcides Rodrigues Filho,,Deputado Federal eleito,PRP,,,id314951562595058,28/10/2018,
Wladimir Barros Assed Matheus De Oliveira,,Deputado Federal eleito,PRP,,,id289873757814160,28/10/2018,
João Henrique Holanda Caldas,,Deputado Federal eleito,PSB,,,id375940632464690,28/10/2018,
Carlos Camilo Goes Capiberibe,,Deputado Federal eleito,PSB,,,id191400270968241,28/10/2018,
José Marcelo Do Nascimento Nilo,,Deputado Federal eleito,PSB,,,id395976670456376,28/10/2018,
Lídice Da Mata E Souza,,Deputado Federal eleito,PSB,,,id203206869718110,28/10/2018,
Denis Anderson Da Rocha Bezerra,,Deputado Federal eleito,PSB,,,id158153364906858,28/10/2018,
Felipe Rigoni Lopes,,Deputado Federal eleito,PSB,,,id1635492076680391,28/10/2018,
Paulo Roberto Foletto,,Deputado Federal eleito,PSB,,,id184948081656256,28/10/2018,
Elias Vaz De Andrade,,Deputado Federal eleito,PSB,,,id661866270570867,28/10/2018,
Ubirajara Do Pindaré Almeida Sousa,,Deputado Federal eleito,PSB,,,id219582141509970,28/10/2018,
Emidio Alves Madeira Junior,,Deputado Federal eleito,PSB,,,id781653925252644,28/10/2018,
Julio Cesar Delgado,,Deputado Federal eleito,PSB,,,id128747130644889,28/10/2018,
Vilson Luiz Da Silva,,Deputado Federal eleito,PSB,,,id569930423388523,28/10/2018,
Cássio Coelho Andrade,,Deputado Federal eleito,PSB,,,id689828201071604,28/10/2018,
Gervásio Agripino Maia,,Deputado Federal eleito,PSB,,,id514558765355005,28/10/2018,
Danilo Jorge De Barros Cabral,,Deputado Federal eleito,PSB,,,id297853750374882,28/10/2018,
Felipe Augusto Lyra Carreras,,Deputado Federal eleito,PSB,,,id685135528216748,28/10/2018,
Francisco Tadeu Barbosa De Alencar,,Deputado Federal eleito,PSB,,,id1494712497406878,28/10/2018,
João Henrique De Andrade Lima Campos,,Deputado Federal eleito,PSB,,,id354452078324576,28/10/2018,
Luiz Gonzaga Patriota,,Deputado Federal eleito,PSB,,,id258656010969084,28/10/2018,
Átila Freitas Lira,,Deputado Federal eleito,PSB,,,id457829930992678,28/10/2018,
